frame,filename,pass_id,t,speed,yaw_rate,sharpness,n_edge,du,dv,du_mad,dv_mad,inlier8,n_edge_other,du_other,dv_other,de_nt,geometry_ok,pass_conflict,motion_ok,sharp_ok,cls,reasons
0,260408_114933276.jpg,0,300638.761728,9.35,0.2,271.8,10,nan,nan,nan,nan,nan,0,nan,nan,4.175,False,False,True,True,unverified,few_edges
1,260408_114933809.jpg,0,300639.294828,9.05,0.35,268.4,8,nan,nan,nan,nan,nan,0,nan,nan,4.425,False,False,True,True,unverified,few_edges
2,260408_114934387.jpg,0,300639.873329,8.52,0.46,267.1,3,nan,nan,nan,nan,nan,0,nan,nan,4.325,False,False,True,True,unverified,few_edges
3,260408_114934987.jpg,0,300640.47323,8.16,0.37,262.5,29,nan,nan,nan,nan,nan,0,nan,nan,4.175,False,False,True,True,unverified,few_edges
4,260408_114935610.jpg,0,300641.096331,7.9,0.29,255.8,51,0.7,-13.99,7.64,5.97,0.068,0,nan,nan,4.075,False,False,True,True,unverified,few_edges
5,260408_114936244.jpg,0,300641.730931,7.78,0.24,254.8,191,-0.84,-2.9,20.78,11.21,0.061,0,nan,nan,3.975,False,False,True,True,unverified,few_edges
6,260408_114936879.jpg,0,300642.365532,7.77,0.85,251.6,368,-2.75,-0.86,14.44,13.7,0.12,0,nan,nan,4.075,True,False,True,True,clean,
7,260408_114937513.jpg,0,300643.000133,7.79,0.54,249.1,288,2.89,-0.78,5.83,10.33,0.162,0,nan,nan,4.075,False,False,True,True,unverified,few_edges
8,260408_114938148.jpg,0,300643.634734,7.81,0.4,249.2,771,-17.23,5.46,5.81,0.27,0.161,0,nan,nan,4.275,False,False,True,True,reject,geometry
9,260408_114938782.jpg,0,300644.269335,7.82,0.57,262.9,702,-20.75,-8.58,6.82,0.28,0.096,0,nan,nan,4.875,False,False,True,True,reject,geometry
10,260408_114939417.jpg,0,300644.903935,7.84,0.33,306.7,410,-13.39,-10.89,9.53,3.63,0.069,0,nan,nan,5.9750000000000005,False,False,True,True,reject,geometry
11,260408_114940051.jpg,0,300645.538536,7.86,0.07,416.3,158,-7.61,-2.47,4.13,16.31,0.058,0,nan,nan,5.175000000000001,False,False,True,True,unverified,few_edges
12,260408_114940686.jpg,0,300646.173137,7.86,0.51,412.3,97,0.66,-0.64,14.86,8.07,0.067,0,nan,nan,5.925000000000001,False,False,True,True,unverified,few_edges
13,260408_114941320.jpg,0,300646.807738,7.86,0.45,393.3,122,10.86,-9.6,11.02,16.25,0.034,0,nan,nan,8.625,False,False,True,True,unverified,few_edges
14,260408_114941955.jpg,0,300647.442338,7.87,0.27,328.7,169,5.41,-8.61,6.33,7.7,0.175,0,nan,nan,6.425000000000001,False,False,True,True,unverified,few_edges
