boundary,m2f_vistas,m2f_city,oneformer_city,eomt_city,eomt_dinov3_ade,segformer_b5
road@2,0.016,0.0116,0.0109,0.0111,0.016,0.0089
road@4,0.0319,0.0236,0.0223,0.0234,0.0322,0.0182
road@8,0.0604,0.049,0.0437,0.051,0.0613,0.0383
sidewalk@2,0.0107,0.013,0.0109,0.0195,0.0166,0.0095
sidewalk@4,0.021,0.0279,0.0257,0.0374,0.0347,0.0164
sidewalk@8,0.0416,0.0547,0.0525,0.0745,0.0728,0.0249
building@2,0.0113,0.0106,0.0101,0.0105,0.0104,0.01
building@4,0.023,0.022,0.0209,0.0217,0.0203,0.0206
building@8,0.0445,0.0432,0.0423,0.0414,0.039,0.0399
fence@2,0.0195,0.0107,0.0137,0.0148,0.0128,0.0115
fence@4,0.0392,0.0225,0.0269,0.0287,0.0247,0.0229
fence@8,0.0721,0.0455,0.0519,0.0535,0.0461,0.0436
terrain@2,0.019,0.0168,0.0171,0.0199,0.0165,0.018
terrain@4,0.0382,0.0333,0.0343,0.0401,0.0336,0.036
terrain@8,0.0748,0.0667,0.0669,0.0786,0.0661,0.0691
vegetation@2,0.0143,0.0137,0.014,0.015,0.0128,0.0125
vegetation@4,0.0305,0.0293,0.0296,0.0313,0.0266,0.026
vegetation@8,0.061,0.0587,0.0595,0.0646,0.0529,0.0529
