class,gt_px,m2f_vistas,m2f_city,oneformer_city,eomt_city,eomt_dinov3_ade,segformer_b5
road,4579117,0.5534,0.5192,0.4669,0.5374,0.5061,0.4511
sidewalk,210810,0.2276,0.2273,0.1987,0.4646,0.3435,0.0783
building,1650275,0.2341,0.2225,0.232,0.2303,0.2128,0.2231
wall,309894,0.0123,0.0043,0.0059,0.0426,0.0111,0.0025
fence,3966733,0.2951,0.2037,0.2492,0.2459,0.1966,0.1711
vegetation,8851296,0.4534,0.4371,0.4517,0.439,0.2954,0.3894
terrain,9997185,0.5791,0.5196,0.4571,0.545,0.5485,0.4331
water,38093,0.1721,n/a,n/a,n/a,0.1544,n/a
guard_rail,82911,0.0,n/a,n/a,n/a,0.0069,n/a
stairs,1560,n/a,n/a,n/a,n/a,0.0,n/a
pole,58,0.0,0.0,0.0,0.0,0.0,0.0
